year,month,day,Bz_nT,sw_speed_km_s,sw_density_n_cc,Ap
2015,1,1,-3.4,585.0,3.433333333333333,6
2015,1,2,-7.5,465.0,11.35,11
2015,1,3,-4.6,480.0,8.775,12
2015,1,4,-8.9,448.0,7.8166666666666655,18
2015,1,5,-4.7,530.0,5.170833333333332,15
2015,1,6,-6.8,519.0,5.687499999999999,12
2015,1,7,-17.3,484.0,14.325000000000001,31
2015,1,8,-3.6,494.0,6.900000000000001,13
2015,1,9,-3.0,508.0,3.1541666666666655,6
2015,1,10,-2.5,494.0,4.554166666666667,9
2015,1,11,-4.2,602.0,2.095833333333334,10
2015,1,12,-3.0,459.0,4.179166666666666,7
2015,1,13,-4.8,450.0,5.141666666666667,7
2015,1,14,-4.3,405.0,5.058333333333332,6
2015,1,15,-5.8,426.0,4.758333333333332,5
2015,1,16,-5.6,428.0,5.737500000000002,7
2015,1,17,-4.5,367.0,5.1208333333333345,6
2015,1,18,-4.1,349.0,5.987500000000001,4
2015,1,19,-4.9,322.0,6.575,4
2015,1,20,-3.7,311.0,12.391666666666667,2
2015,1,21,-5.6,486.0,30.73846153846154,11
2015,1,22,-3.3,488.0,6.779166666666666,12
2015,1,23,-3.6,445.0,5.879166666666666,8
2015,1,24,-3.2,425.0,6.054166666666668,6
2015,1,25,-7.8,367.0,8.874999999999998,5
2015,1,26,-10.9,384.0,16.087500000000002,15
2015,1,27,-4.3,491.0,9.783333333333335,11
2015,1,28,-2.9,519.0,7.495833333333333,7
2015,1,29,-5.8,414.0,11.737499999999999,8
2015,1,30,-4.1,430.0,8.100000000000001,9
2015,1,31,-4.0,438.0,8.556521739130433,9
2015,2,1,-6.9,673.0,9.225,20
2015,2,2,-9.9,695.0,4.354166666666667,27
2015,2,3,-3.4,679.0,2.75,16
2015,2,4,-3.0,540.0,3.516666666666667,8
2015,2,5,-5.6,423.0,8.612499999999999,12
2015,2,6,-1.8,451.0,4.370833333333333,5
2015,2,7,-5.6,420.0,6.512499999999998,9
2015,2,8,-4.7,556.0,3.069565217391305,10
2015,2,9,-3.8,500.0,3.420833333333333,7
2015,2,10,-4.7,394.0,3.6708333333333343,6
2015,2,11,-3.4,393.0,4.088888888888889,5
2015,2,12,-4.4,365.0,5.75,4
2015,2,13,-2.5,343.0,5.9125000000000005,2
2015,2,14,-3.4,337.0,9.420833333333334,2
2015,2,15,-7.2,343.0,9.354166666666668,6
2015,2,16,-5.6,363.0,10.979166666666666,5
2015,2,17,-12.0,410.0,10.612499999999999,22
2015,2,18,-6.8,461.0,6.470833333333334,18
2015,2,19,-5.3,427.0,5.449999999999998,8
2015,2,20,-5.0,362.0,6.545833333333332,5
2015,2,21,-4.6,356.0,7.966666666666668,7
2015,2,22,-5.5,339.0,11.870833333333332,6
2015,2,23,-7.7,438.0,19.404166666666665,16
2015,2,24,-5.4,492.0,8.416666666666666,25
2015,2,25,-2.2,488.0,3.933333333333333,8
2015,2,26,-2.6,462.0,4.012499999999999,4
2015,2,27,-3.1,367.0,9.991666666666669,2
2015,2,28,-7.3,474.0,17.2,11
2015,3,1,-5.9,566.0,7.287499999999999,26
2015,3,2,-8.5,643.0,6.020833333333333,28
2015,3,3,-4.1,563.0,4.095833333333334,10
2015,3,4,-4.2,508.0,7.041666666666664,9
2015,3,5,-3.4,502.0,5.508333333333333,5
2015,3,6,-5.7,498.0,7.362499999999998,10
2015,3,7,-2.6,575.0,5.637499999999999,21
2015,3,8,-2.5,576.0,4.220833333333333,11
2015,3,9,-1.8,557.0,3.554166666666667,5
2015,3,10,-2.4,407.0,4.9375,4
2015,3,11,-4.3,428.0,8.458333333333334,9
2015,3,12,-4.7,419.0,7.391666666666666,8
2015,3,13,-5.8,435.0,7.3875,6
2015,3,14,-2.9,365.0,11.445833333333333,5
2015,3,15,-4.0,329.0,18.849999999999998,6
2015,3,16,-6.9,431.0,23.29166666666666,12
2015,3,17,-18.6,614.0,17.516666666666666,108
2015,3,18,-5.7,683.0,4.458333333333334,47
2015,3,19,-5.8,664.0,3.4666666666666663,26
2015,3,20,-4.6,604.0,2.6916666666666664,22
2015,3,21,-1.3,662.0,2.970833333333333,12
